Using options:
0804A954: warning: Unable to resolve imported reference !__gmon_start__.
0804B460: error: The method or operation is not implemented.
0804A914: warning: Unable to resolve imported reference !wmove.
0804AC24: warning: Unable to resolve imported reference !wclrtoeol.
0804B264: warning: Unable to resolve imported reference !wattr_off.
0804B264: warning: Unable to resolve imported reference !wattr_off.
0804B264: warning: Unable to resolve imported reference !wattr_off.
0804ADE4: warning: Unable to resolve imported reference !wrefresh.
0804A914: warning: Unable to resolve imported reference !wmove.
0804B2A4: warning: Unable to resolve imported reference !wnoutrefresh.
0804AC04: warning: Unable to resolve imported reference !pnoutrefresh.
0804AA84: warning: Unable to resolve imported reference !doupdate.
0804AD84: warning: Unable to resolve imported reference !wtouchln.
0804B2A4: warning: Unable to resolve imported reference !wnoutrefresh.
0804A964: warning: Unable to resolve imported reference !echo.
0804ACE4: warning: Unable to resolve imported reference !nonl.
0804B364: warning: Unable to resolve imported reference !nl.
0804A854: warning: Unable to resolve imported reference !mouseinterval.
0804A854: warning: Unable to resolve imported reference !mouseinterval.
0804ACC4: warning: Unable to resolve imported reference !mousemask.
0804ACC4: warning: Unable to resolve imported reference !mousemask.
0804A9C4: warning: Unable to resolve imported reference !endwin.
0804AC84: warning: Unable to resolve imported reference !__lxstat64.
0804B204: warning: Unable to resolve imported reference !vasprintf.
0804ABE4: warning: Unable to resolve imported reference !gettext.
0804B3E4: warning: Unable to resolve imported reference !napms.
0804A8A4: warning: Unable to resolve imported reference !syslog.
0804B304: warning: Unable to resolve imported reference !closelog.
0804ABE4: warning: Unable to resolve imported reference !gettext.
0804ABE4: warning: Unable to resolve imported reference !gettext.
0804AD74: warning: Unable to resolve imported reference !__ctype_b_loc.
0804AD74: warning: Unable to resolve imported reference !__ctype_b_loc.
0804AD74: warning: Unable to resolve imported reference !__ctype_b_loc.
0804AB84: warning: Unable to resolve imported reference !delwin.
0804A8B4: warning: Unable to resolve imported reference !newwin.
0804A914: warning: Unable to resolve imported reference !wmove.
0804A8F4: warning: Unable to resolve imported reference !waddch.
0804ABE4: warning: Unable to resolve imported reference !gettext.
0804ACA4: warning: Unable to resolve imported reference !pair_content.
0804AAB4: warning: Unable to resolve imported reference !derwin.
0804A914: warning: Unable to resolve imported reference !wmove.
0804AB84: warning: Unable to resolve imported reference !delwin.
0804A914: warning: Unable to resolve imported reference !wmove.
0808DDE5: warning: The format specifier '%.' passed to *printf is not known.
0804A8F4: warning: Unable to resolve imported reference !waddch.
0804A8F4: warning: Unable to resolve imported reference !waddch.
0804A8F4: warning: Unable to resolve imported reference !waddch.
0804B3B4: warning: Unable to resolve imported reference !wbkgdset.
0804B3B4: warning: Unable to resolve imported reference !wbkgdset.
0804B3B4: warning: Unable to resolve imported reference !wbkgdset.
0804B3B4: warning: Unable to resolve imported reference !wbkgdset.
0804ABE4: warning: Unable to resolve imported reference !gettext.
0804ABE4: warning: Unable to resolve imported reference !gettext.
0805A217: warning: Unable to determine format string for call to 'fprintf'.
0804B084: warning: Unable to resolve imported reference !remove.
